LocalID,OriginTag,Description,DeviceID,Unit,Type
/hs4sd_v1/ct03/pri_sp///1_diff_ll_mbar/press,CB014_01/MeasA/PRIM,CGO TK3/PRI SP,IAS,millibar,Decimal
/hs4sd_v1/ct03/pri_sp///2_diff_ll_mbar/press,CB015_01/MeasA/PRIM,CGO TK3/PRI SP,IAS,millibar,Decimal
/hs4sd_v1/ct03/pri_sp///cont_mbar/press,CB011.02/Meas1/PRIM,CGO TK3 PRI SP,IAS,millibar,Decimal
/hs4sd_v1/ct03/pri_sp///mbar/press,CB011.01/Meas1/PRIM,CGO TK3 PRI SP,IAS,millibar,Decimal
/hs4sd_v1/ct03/sec_barrier///10a_aft_stbd_lower_c/temp,CC073.01/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///10b_aft_stbd_lower_c/temp,CC073.02/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///11a_aft_stbd_bottom_c/temp,CC077.01/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///11b_aft_stbd_bottom_c/temp,CC077.02/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///12a_aft_cent_bottom_c/temp,CC078.01/Meas1/PRIM,CGO TK3 SEC BARRIER AFT CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///12b_aft_cent_bottom_c/temp,CC078.02/Meas1/PRIM,CGO TK3 SEC BARRIER AFT CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///13a_bottom_cent_c/temp,CC079.01/Meas1/PRIM,CGO TK3 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///13b_bottom_cent_c/temp,CC079.02/Meas1/PRIM,CGO TK3 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///14a_aft_port_bottom_c/temp,CC080.01/Meas1/PRIM,CGO TK3 SEC BARRIER AFT PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///14b_aft_port_bottom_c/temp,CC080.02/Meas1/PRIM,CGO TK3 SEC BARRIER AFT PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///1a_top_c/temp,CC067.01/Meas1/PRIM,CGO TK3 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///1b_top_c/temp,CC067.02/Meas1/PRIM,CGO TK3 SEC BARRIER,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///2a_aft_stbd_upp_corner_c/temp,CC069.01/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///2b_aft_stbd_upp_corner_c/temp,CC069.02/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///3a_fwd_port_upp_corner_c/temp,CC068.01/Meas1/PRIM,CGO TK3 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///3b_fwd_port_upp_corner_c/temp,CC068.02/Meas1/PRIM,CGO TK3 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///4a_fwd_cent_upp_c/temp,CC074.01/Meas1/PRIM,CGO TK3 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///4b_fwd_cent_upp_c/temp,CC074.02/Meas1/PRIM,CGO TK3 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///5a_aft_cent_middle_c/temp,CC076.01/Meas1/PRIM,CGO TK3 SEC BARRIER AFT CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///5b_aft_cent_middle_c/temp,CC076.02/Meas1/PRIM,CGO TK3 SEC BARRIER AFT CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///6a_fwd_port_upp_c/temp,CC070.01/Meas1/PRIM,CGO TK3 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///6b_fwd_port_upp_c/temp,CC070.02/Meas1/PRIM,CGO TK3 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///7a_aft_stbd_upp_c/temp,CC072.01/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///7b_aft_stbd_upp_c/temp,CC072.02/Meas1/PRIM,CGO TK3 SEC BARRIER AFT STBD,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///8a_fwd_cent_lower_c/temp,CC075.01/Meas1/PRIM,CGO TK3 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///8b_fwd_cent_lower_c/temp,CC075.02/Meas1/PRIM,CGO TK3 SEC BARRIER FWD CENT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///9a_fwd_port_lower_c/temp,CC071.01/Meas1/PRIM,CGO TK3 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_barrier///9b_fwd_port_lower_c/temp,CC071.02/Meas1/PRIM,CGO TK3 SEC BARRIER FWD PORT,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/sec_sp///cont_mbar/press,CB012.02/Meas1/PRIM,CGO TK3 SEC SP,IAS,millibar,Decimal
/hs4sd_v1/ct03/sec_sp///mbar/press,CB012.01/Meas1/PRIM,CGO TK3 SEC SP,IAS,millibar,Decimal
/hs4sd_v1/ct03/trunk_space///c/temp,CC065.01/Meas1/PRIM,CGO TK3 TRUNK SP,IAS,degree Cellisius,Decimal
/hs4sd_v1/ct03/trunk_space///mbar/press,CB033.01/Meas1/PRIM,CGO TK3 TRUNK SPACE,IAS,millibar,Decimal
/hs4sd_v1/ct03_fgp/////run,CP032/OutRunning/PRIM,3C TK FG PP,IAS,,Boolean
/hs4sd_v1/ct04////fgP_a/current,CP033.06/Meas1/PRIM,CGO TK4 FG PP,IAS,ampere,Decimal
/hs4sd_v1/ct04////fgp_disch_bar/press,CP038.01/Meas1/PRIM,CGO TK4 FG PP,IAS,bar,Decimal
/hs4sd_v1/ct04////m/level,CTS.CT4.INST.L/Meas1/PRIM,CGO TK4 LVL EH,IAS,meter,Decimal
/hs4sd_v1/ct04////mbar/press,CB018.01/Y/PRIM,CGO TK4,IAS,millibar,Decimal
/hs4sd_v1/ct04//liq//t/vol,CTS.CT4.VOL.LIQ/Meas1/PRIM,CT4 Liquid Volume,IAS,,Decimal
/hs4sd_v1/ct04/aft_bhd///port_lower_c/temp,CC089.01/Meas1/PRIM,CGO TK4 AFT BHD PORT,IAS,degree Cellisius,Decimal
